SUBSTÂNCIA;CNPJ;LABORATÓRIO;CÓDIGO GGREM;REGISTRO;EAN 1;EAN 2;EAN 3;PRODUTO;APRESENTAÇÃO;CLASSE TERAPÊUTICA;TIPO DE PRODUTO (STATUS DO PRODUTO);REGIME DE PREÇO;PF Sem Impostos;PF 0%;PF 12%;PF 17%;PF 17% ALC;PF 17,5%;PF 17,5% ALC;PF 18%;PF 18% ALC;PF 20%;PMC 0%;PMC 12%;PMC 17%;PMC 17% ALC;PMC 17,5%;PMC 17,5% ALC;PMC 18%;PMC 18% ALC;PMC 20%;RESTRIÇÃO HOSPITALAR;CAP;CONFAZ 87;ICMS 0%;ANÁLISE RECURSAL;LISTA DE CONCESSÃO DE CRÉDITO TRIBUTÁRIO (PIS/COFINS);COMERCIALIZAÇÃO 2020;TARJA
"SALICILATO DE FENILA;ÁCIDO SALICÍLICO;ÓXIDO DE ZINCO;ENXOFRE;MENTOL";33.379.884/0001-96;LABORATORIO SIMOES LTDA.;520500901178410;057600510011;7896210500354;    -     ;    -     ;TALCO ALÍVIO;TALQUEIRA C/ 100 G;D10A - ANTIACNEICOS TÓPICOS;Similar;Regulado;5,04;5,65;6,53;6,98;6,08;7,03;6,11;7,08;6,15;7,29;7,58;8,72;9,30;8,41;9,37;8,45;9,43;8,50;9,70;Não;Não;Não;Não;;Negativa;Não;Tarja -(*)
"DIENOGESTE;VALERATO DE ESTRADIOL";56.990.534/0001-67;SCHERING DO BRASIL QUÍMICA E FARMACÊUTICA LTDA;530917060013104;1002001390025;7896116871497;    -     ;    -     ;CHARMELIE;COM REV A + COM REV B + COM REV C + COM REV D 3 ESTOJ CARTOL BL AL PLAS INC X 26 + 2 PLACEBOS ;G3A4 - PREPARAÇÕES CONTRACEPTIVAS TRIFÁSICAS;Similar;Regulado;96,83;108,45;125,32;134,01;116,66;134,95;117,37;135,90;118,09;139,83;145,48;167,40;178,63;161,28;179,84;162,26;181,06;163,25;186,12;Não;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525500402113310;1002900020141;7897337705905;    -     ;    -     ;CO-RENITEC;20 MG + 12,5 MG COM CT BL AL/AL X 30;C9B1 - INIBIDORES DA ECA ASSOCIADOS A ANTI-HIPERTERSIVOS (C2) E/OU DIURÉTICOS (C3);Novo;Regulado;43,76;43,76;49,73;52,72;52,72;53,04;53,04;53,37;53,37;54,70;60,50;68,75;72,88;72,88;73,32;73,32;73,78;73,78;75,62;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
"HIDROCLOROTIAZIDA;MALEATO DE ENALAPRIL";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525500401117312;1002900020158;7897337705912;    -     ;    -     ;CO-RENITEC;10 MG + 25 MG COM CT BL AL/AL X 30;C9B1 - INIBIDORES DA ECA ASSOCIADOS A ANTI-HIPERTERSIVOS (C2) E/OU DIURÉTICOS (C3);Novo;Regulado;28,74;28,74;32,66;34,63;34,63;34,84;34,84;35,05;35,05;35,93;39,73;45,15;47,87;47,87;48,16;48,16;48,45;48,45;49,67;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502006118219;1002900050014;7897337706575;    -     ;    -     ;SINGULAIR;5 MG COM MAST CT 3 BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,40;74,40;74,86;74,86;75,32;75,32;77,20;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502002112216;1002900050022;7897337706568;    -     ;    -     ;SINGULAIR;10 MG COM REV CT 3 BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,40;74,40;74,86;74,86;75,32;75,32;77,20;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502003119214;1002900050057;7897337706490;    -     ;    -     ;SINGULAIR;4 MG COM  MAST CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,40;36,40;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,90;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502004115212;1002900050065;7897337706506;    -     ;    -     ;SINGULAIR;4 MG COM MAST CT 3  BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;44,67;44,67;50,76;53,82;53,82;54,15;54,15;54,48;54,48;55,84;61,75;70,17;74,40;74,40;74,86;74,86;75,32;75,32;77,20;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502005111210;1002900050073;7897337706520;    -     ;    -     ;SINGULAIR;5 MG COM MAST CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,40;36,40;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,90;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502001116218;1002900050081;7897337706551;    -     ;    -     ;SINGULAIR;10 MG COM REV CT BL AL PLAS INC X 10;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;30,03;30,03;34,13;36,18;36,18;36,40;36,40;36,62;36,62;37,54;41,51;47,18;50,02;50,02;50,32;50,32;50,63;50,63;51,90;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502008137318;1002900050111;7897337707923;    -     ;    -     ;SINGULAIR;4 MG GRAN SOL CT 30 ENV AL/PLAS X 500 MG ;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;140,63;140,63;159,81;169,43;169,43;170,46;170,46;171,50;171,50;175,79;194,41;220,93;234,23;234,23;235,65;235,65;237,09;237,09;243,02;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
MONTELUCASTE;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502007130311;1002900050121;7897337707916;    -     ;    -     ;SINGULAIR;4 MG GRAN SOL CT 10 ENV AL/PLAS X 500 MG  ;R3J2 - ANTIASMÁTICOS/DPOC ANTILEUCOTRIENOS SISTÊMICOS;Novo;Regulado;46,81;46,81;53,19;56,40;56,40;56,74;56,74;57,09;57,09;58,51;64,71;73,53;77,97;77,97;78,44;78,44;78,92;78,92;80,89;Não;Não;Não;Não;;Positiva;Não;Tarja Vermelha(*)
LOSARTANA POTÁSSICA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525500601116311;1002900070066;7897337707336;    -     ;    -     ;COZAAR;100 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30;C9C - ANTAGONISTAS DA ANGIOTENSINA II PUROS;Novo;Regulado;47,50;47,50;53,98;57,23;57,23;57,58;57,58;57,93;57,93;59,38;65,67;74,62;79,12;79,12;79,60;79,60;80,08;80,08;82,09;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
LOSARTANA POTÁSSICA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525500606118310;1002900070074;7897337706384;    -     ;    -     ;COZAAR;50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 30;C9C - ANTAGONISTAS DA ANGIOTENSINA II PUROS;Novo;Regulado;32,21;32,21;36,60;38,81;38,81;39,04;39,04;39,28;39,28;40,26;44,53;50,60;53,65;53,65;53,97;53,97;54,30;54,30;55,66;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
LOSARTANA POTÁSSICA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525500605111312;1002900070082;7897337708463;    -     ;    -     ;COZAAR;50 MG COM REV CT BL AL PVC/PE/PVDC BCO OPC X 15;C9C - ANTAGONISTAS DA ANGIOTENSINA II PUROS;Novo;Regulado;23,00;23,00;26,14;27,71;27,71;27,88;27,88;28,05;28,05;28,75;31,80;36,14;38,31;38,31;38,54;38,54;38,78;38,78;39,75;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525503103117319;1002900120039;7897337701419;    -     ;    -     ;ZOCOR;20 MG COM REV CT BL AL PVC/PE/PVDC INC X 30 ;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;71,88;71,88;81,68;86,60;86,60;87,13;87,13;87,66;87,66;89,85;99,37;112,92;119,72;119,72;120,45;120,45;121,18;121,18;124,21;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525503104113317;1002900120160;7897337705769;    -     ;    -     ;ZOCOR;40 MG COM REV CT BL AL PVC/PE/PVDC INC X 10;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;32,59;32,59;37,03;39,27;39,27;39,50;39,50;39,74;39,74;40,74;45,05;51,19;54,29;54,29;54,61;54,61;54,94;54,94;56,32;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525503106116313;1002900120357;7897337705776;    -     ;    -     ;ZOCOR;80 MG COM REV CT BL AL PVC/PE/PVDC INC X 10   ;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;32,59;32,59;37,03;39,27;39,27;39,50;39,50;39,74;39,74;40,74;45,05;51,19;54,29;54,29;54,61;54,61;54,94;54,94;56,32;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
SINVASTATINA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525503102110310;1002900120403;7897337705752;    -     ;    -     ;ZOCOR;10 MG COM REV CT BL AL PVC/PE/PVDC INC X 30;C10A1 - ESTATINAS, INIBIDORES DA REDUTASE HMG-CoA;Novo;Regulado;57,22;57,22;65,02;68,94;68,94;69,36;69,36;69,78;69,78;71,53;79,10;89,89;95,31;95,31;95,89;95,89;96,47;96,47;98,89;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525512070015103;1002900130018;7897337708517;    -     ;    -     ;HYZAAR;50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 15;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;18,55;18,55;21,08;22,35;22,35;22,48;22,48;22,62;22,62;23,19;25,64;29,14;30,90;30,90;31,08;31,08;31,27;31,27;32,06;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525501202118317;1002900130026;7897337709354;    -     ;    -     ;HYZAAR;50 MG + 12,5 MG COM REV OR CT BL AL PLAS BCO OPC X 30;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;37,10;37,10;42,16;44,70;44,70;44,97;44,97;45,24;45,24;46,38;51,29;58,28;61,80;61,80;62,17;62,17;62,54;62,54;64,12;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525512070015203;1002900130034;7897337708524;    -     ;    -     ;HYZAAR;100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 15;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;30,59;30,59;34,76;36,86;36,86;37,08;37,08;37,30;37,30;38,24;42,29;48,05;50,96;50,96;51,26;51,26;51,57;51,57;52,86;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
"HIDROCLOROTIAZIDA;LOSARTANA POTÁSSICA";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525501201111319;1002900130042;7897337707404;    -     ;    -     ;HYZAAR;100 MG + 25 MG COM REV OR CT BL AL PLAS BCO OPC X 30;C9D1 - ANTAGONISTAS DA ANGIOTENSINA II ASSOCIADOS A ANTIHIPERTENSIVOS (C2) E/OU DIURÉTICOS;Novo;Regulado;61,19;61,19;69,53;73,72;73,72;74,17;74,17;74,62;74,62;76,49;84,59;96,12;101,91;101,91;102,54;102,54;103,16;103,16;105,74;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
BENZOATO DE RIZATRIPTANA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525501401110219;1002900140064;7897337702089;    -     ;    -     ;MAXALT;10 MG COM CT BL AL AL X 2;N2C1 - ANTIENXAQUECOSOS TRIPTÂNICOS;Novo;Regulado;18,02;18,02;20,48;21,71;21,71;21,84;21,84;21,98;21,98;22,53;24,91;28,31;30,01;30,01;30,19;30,19;30,39;30,39;31,15;Não;Não;Não;Não;;Positiva;Sim;Tarja Vermelha(*)
ANTÍGENO HBS;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502601156415;1002900150019;7897337702621;    -     ;    -     ;RECOMBIVAX® HB;10 MCG/1,0 ML SUS INJ CT FA VD INC X 1,0  ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;59,46;59,46;67,57;71,64;71,64;72,07;72,07;72,51;72,51;74,33;82,20;93,41;99,04;99,04;99,63;99,63;100,24;100,24;102,76;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
ANTÍGENO HBS;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502602152413;1002900150027;7897337702614;    -     ;    -     ;RECOMBIVAX® HB;5 MCG/0,5 ML SUS INJ CT FA VD INC X 0,5 ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;31,97;31,97;36,33;38,52;38,52;38,75;38,75;38,99;38,99;39,96;44,20;50,22;53,25;53,25;53,57;53,57;53,90;53,90;55,24;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
ALENDRONATO DE SÓDIO TRI-HIDRATADO;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525501103111314;1002900160081;7897337706421;    -     ;    -     ;FOSAMAX;70 MG COM OR CT BL AL / AL X 4;M5B3 - BISFOSFONATOS PARA OSTEOPOROSE E ALTERAÇÕES RELACIONADAS;Novo;Regulado;135,08;135,08;153,50;162,75;162,75;163,73;163,73;164,73;164,73;168,85;186,74;212,20;224,99;224,99;226,35;226,35;227,73;227,73;233,43;Não;Não;Sim;Não;;Positiva;Não;Tarja Vermelha(*)
FINASTERIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525501702110315;1002900190010;7897337709019;    -     ;    -     ;PROPECIA;1 MG COM REV CT BL AL AL X 30;D11A - OUTRAS PREPARAÇÕES DERMATOLOGICAS;Similar;Regulado;107,16;120,02;138,69;148,31;129,11;149,35;129,89;150,40;130,68;154,75;161,00;185,26;197,69;178,49;199,03;179,57;200,38;180,66;205,98;Não;Não;Não;Não;;Negativa;Não;Tarja Vermelha(*)
"POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9N;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 10A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 12F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 22F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 20;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 17F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 15B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 8;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 11A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 3;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 2;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 33F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502901151419;1002900220017;7897337702874;    -     ;    -     ;PNEUMOVAX™ 23;SOL INJ (MONODOSE) CT 1 FA X 0,5 ML;J7D1 - VACINAS PARA PNEUMONIA;Novo;Regulado;38,59;38,59;43,85;46,49;46,49;46,78;46,78;47,06;47,06;48,24;53,35;60,62;64,27;64,27;64,67;64,67;65,06;65,06;66,69;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
"POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 7F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 18C;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9N;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 10A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 12F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 22F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 9V;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 20;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 17F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 15B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 19F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 8;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 11A;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 5;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 3;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 4;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 6B;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 1;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 23F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 2;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 33F;POLISSACARÍDEO CAPSULAR DE STREPTOCOCCUS PNEUMONIAE SOROTIPO 14";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525518070020507;1002900220025;7897337715881;    -     ;    -     ;PNEUMOVAX™ 23;SOL INJ (MONODOSE) CT 10 FA X 0,5 ML;J7D1 - VACINAS PARA PNEUMONIA;Novo;Regulado;385,92;385,92;438,55;464,96;464,96;467,78;467,78;470,63;470,63;482,40;533,51;606,27;642,78;642,78;646,68;646,68;650,62;650,62;666,89;Não;Não;Sim;Não;;Positiva;Não;Tarja  Vermelha
VIRUS DA VARICELA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502702157417;1002900240018;7897337703345;    -     ;    -     ;VACINA VARICELA (ATENUADA);1350 UFP PO LIOF SOL INJ CT  FA VD INC + FA VD INC DIL X 0,7 ML;J7E2 - VACINA CONTRA VARICELLA;Novo;Regulado;103,04;103,04;117,09;124,14;124,14;124,90;124,90;125,66;125,66;128,80;142,45;161,87;171,62;171,62;172,67;172,67;173,72;173,72;178,06;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
VIRUS DA VARICELA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525519020021007;1002900240026;00000000000100;5437456192536;    -     ;VACINA VARICELA (ATENUADA);1350 UFP PO LIOF SOL INJ CT 10 FA VD INC + 10 FA VD INC DIL X 0,7 ML;J7E2 - VACINA CONTRA VARICELLA;Novo;Regulado;1030,41;1030,41;1170,92;1241,46;1241,46;1248,98;1248,98;1256,60;1256,60;1288,01;1424,48;1618,73;1716,25;1716,25;1726,64;1726,64;1737,18;1737,18;1780,60;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
VACINA SARAMPO, CAXUMBA, RUBÉOLA (ATENUADA);45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502801155412;1002900250013;7897337704588;    -     ;    -     ;M-M-R II;PO LIOF SOL INJ CT FA VD INC DOSE UNICA + FA VD INC DIL;J7B2 - ASSOCIAÇÔES COM VACINA ANTI-SARAMPO E PAROTIDITE;Novo;Regulado;22,37;22,37;25,42;26,95;26,95;27,12;27,12;27,28;27,28;27,96;30,93;35,14;37,26;37,26;37,49;37,49;37,71;37,71;38,65;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
"VÍRUS DA CAXUMBA;VÍRUS DA RUBEOLA;VÍRUS DO SARAMPO";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525520030021207;1002900250048;7897337715997;    -     ;    -     ;M-M-R II;PO LIOF SOL INJ CT 10 FA VD INC DOSE UNICA + CT 10 FA VD INC DIL;J7B2 - ASSOCIAÇÔES COM VACINA ANTI-SARAMPO E PAROTIDITE;Novo;Regulado;223,67;223,67;254,17;269,48;269,48;271,12;271,12;272,77;272,77;279,59;309,21;351,38;372,54;372,54;374,81;374,81;377,09;377,09;386,52;Não;Não;Sim;Não;;Positiva;Não;Tarja -(*)
"CILASTATINA SÓDICA;IMIPENÉM MONOIDRATADO";45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502206151317;1002900260094;7897337703598;    -     ;    -     ;TIENAM;500 MG + 500 MG PO INJ IV CT 25 FA VD INC;J1P2 - CARBAPENEMES E PENEMES;Novo;Regulado;3278,44;3278,44;3725,50;3949,93;3949,93;3973,87;3973,87;3998,10;3998,10;4098,05;4532,25;5150,29;5460,55;5460,55;5493,64;5493,64;5527,14;5527,14;5665,31;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
CLORIDRATO DE DORZOLAMIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502401173413;1002900270014;7897337705813;    -     ;    -     ;TRUSOPT;20 MG/ML SOL OFT CT FR PLAS TRANS X 5 ML;S1E2 - PREPARAÇÕES ANTIGLAUCOMAS E MIÓTICAS TÓPICAS;Novo;Regulado;60,64;60,64;68,91;73,06;73,06;73,50;73,50;73,95;73,95;75,80;83,83;95,26;101,00;101,00;101,61;101,61;102,23;102,23;104,79;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
FINASTERIDA;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525501802115319;1002900280044;7897337707077;    -     ;    -     ;PROSCAR;5 MG COM REV CT BL AL PLAS INC X 30;G4C3 - BPH INIBIDORES DA 5-ALFA TESTOSTERONA REDUTASE (5-ARI) PUROS;Novo;Regulado;183,37;183,37;208,38;220,93;220,93;222,27;222,27;223,62;223,62;229,21;253,50;288,07;305,42;305,42;307,28;307,28;309,14;309,14;316,87;Não;Não;Não;Não;;Positiva;Não;Tarja  Vermelha
VÍRUS DA HEPATITE A PURIFICADO INATIVADO;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502501151411;1002900300010;7897337701617;    -     ;    -     ;VAQTA;25 U SUS INJ IM CT 1 FA VD INC X 0,5 ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;58,78;58,78;66,80;70,82;70,82;71,25;71,25;71,68;71,68;73,48;81,26;92,35;97,90;97,90;98,50;98,50;99,09;99,09;101,58;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
VÍRUS DA HEPATITE A PURIFICADO INATIVADO;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525502502158411;1002900300037;7897337701600;    -     ;    -     ;VAQTA;50 U SUS INJ IM CT 1 FA VD INC X 1,0 ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;87,41;87,41;99,33;105,31;105,31;105,95;105,95;106,60;106,60;109,26;120,84;137,32;145,58;145,58;146,47;146,47;147,37;147,37;151,05;Não;Não;Sim;Não;;Positiva;Sim;Tarja  Vermelha
VÍRUS DA HEPATITE A PURIFICADO INATIVADO;45.987.013/0001-34;ORGANON FARMACÊUTICA LTDA.;525513100016103;1002900300061;7897337711449;    -     ;    -     ;VAQTA;50 U SUS INJ IM CT 10 FA VD INC X 1,0 ML;J7E4 - VACINA PARA HEPATITE;Novo;Regulado;874,01;874,01;993,19;1053,02;1053,02;1059,41;1059,41;1065,87;1065,87;1092,51;1208,27;1373,03;1455,74;1455,74;1464,57;1464,57;1473,50;1473,50;1510,33;Não;Não;Não;Não;;Positiva;Sim;Tarja  Vermelha
